sevfc2_spa;Sevilla II FC;
depalsad_spa;Deportivo Alavés;Alaves
albba_spa;Albacete Balompié;
adalcor_spa;AD Alcorcón;Alcorcon
alcoycd_spa;Club Deportivo Alcoyano;
almud_spa;UD Almería;UD Almeria
athbc_spa;Athletic Club;Athletic Bilbao
athmc_spa;Club Atlético de Madrid;Atletico Madrid
barfc_spa;FC Barcelona;FC Barcelone
barfc2_spa;FC Barcelona Atlètic;
rbet_spa;Real Betis;
fccart_spa;FC Cartagena;
rcceltv_spa;Real Club Celta de Vigo;Celta Vigo
corcf_spa;Córdoba CF;
deplaco_spa;RC Deportivo La Coruña;Deportivo La Corogne
sdeib_spa;SD Eibar;Eibar
elchcf_spa;Elche CF;CF Elche
esprcd_spa;RCD Espanyol;Espanyol Barcelone
getcf_spa;Getafe CF;Getafe
cgimntar_spa;Club Gimnàstic de Tarragona;Gimnastic de Tarragona
girfc_spa;Girona FC;Girona
grncf_spa;Granada CF;
guadcd_spa;Club Deportivo Guadalajara;
hercf_spa;Hercules CF;
sdhue_spa;SD Huesca;SD Huesca
udlpalm_spa;UD Las Palmas;Las Palmas
levud_spa;Levante UD;Levante
cdlugo_spa;Club Deportivo Lugo;CD Lugo
malrcd_spa;RCD Mallorca;
cdmira_spa;Club Deportivo Mirandés;CD Mirandes
rmurcf_spa;Real Murcia Club de Fútbol;Ucam Murcia CF
malcf_spa;Málaga CF;Malaga
numscd_spa;CD Numancia de Soria;CD Numancia
osaca_spa;CA Osasuna;Osasuna
sdponf_spa;SD Ponferradina;
racrc_spa;Real Racing Club;
rvalm_spa;Rayo Vallecano de Madrid;Rayo Vallecano
rjcf_spa;Real Jaén CF;
reama_spa;Real Madrid CF;Real Madrid
reama2_spa;Real Madrid II;
reso_spa;Real Sociedad de Fútbol;Real Sociedad
rechu_spa;Recreativo de Huelva;
cesabadfc_spa;CE Sabadell Futbol Club;
udsalam_spa;UD Salamanca;
sevfc_spa;Sevilla FC;FC S�ville
spogijo_spa;Real Sporting de Gijón;Gijon
tencd_spa;CD Tenerife;CD Tenerife
valfc_spa;Valencia CF;FC Valence
rvallcf_spa;Real Valladolid Club de Fútbol;
vilfc_spa;Villarreal CF;Villarreal
vilfc2_spa;Villarreal CF II;
xercd_spa;Xerez CD;
zara_spa;Real Zaragoza;
cdlegsad_spa;Club Deportivo Leganés SAD;Leganes
uellagost_spa;Unió Esportiva Llagostera;
athbc2_spa;Athletic Bilbao Club II;
ro_spa;Real Oviedo;Real Oviedo
cadcf_spa;Cádiz Club de Fútbol;CF Cadiz
ucamcf_spa;UCAM Murcia CF;Ucam Murcia CF
redecf_spa;Club de Futbol Reus Deportiu;CF Reus Deportiu
