acajac_fra;AC Ajaccio;AC Ajaccio
acaa_fra;AC Arles-Avignon;
ajau_fra;AJ Auxerre;Auxerre
amiensc_fra;Amiens Sporting Club;Amiens
angsco_fra;Angers SCO;Angers
asmofc_fra;AS Monaco FC;Monaco
asnl_fra;AS Nancy-Lorraine;Nancy
asse_fra;AS Saint-Etienne;Saint-�tienne
cabast_fra;Cercle Athlétique Bastiais;
chniofc_fra;Chamois Niortais FC;Niort
clerfa_fra;Clermont Foot Auvergne;Clermont
cssedard_fra;CS Sedan Ardennes;
dijfco_fra;Dijon FCO;Dijon
guing_fra;En Avant de Guingamp;Guingamp
estrofc_fra;ES Troyes AC;Troyes
evitgfc_fra;Evian Thonon Gaillard FC;Evian TG
fcbp_fra;FC Bourg-Péronnas;Bourg-P�ronnas
fcgb_fra;FC Girondins de Bordeaux;Bordeaux
fcistrop_fra;FC Istres Ouest Provence;
fcl_fra;FC Lorient;Lorient
fcmetz_fra;FC Metz;Metz
nantfc_fra;FC Nantes;Nantes
fcsm_fra;FC Sochaux-Montbéliard;Sochaux
gfcoaj_fra;Gazélec FC Olympique Ajaccio;Gazelec Ajaccio
grefoot_fra;Grenoble Foot 38;
havrac_fra;Havre AC;Le Havre
bchatrx_fra;La Berrichonne Châteauroux;
lemanuc_fra;Le Mans UC 72;
losc_fra;LOSC Lille Métropole;Lille
luzap_fra;Luzenac Ariège Pyrénées;
mhsc_fra;Montpellier Hérault SC;Montpellier
nimesoly_fra;Nîmes Olympique;N�mes
nimolyfc_fra;Nîmes Olympique FC;N�mes
ogcn_fra;OGC Nice;Nice
olma_fra;Olympique de Marseille;Marseille
olly_fra;Olympique Lyonnais;Lyon
parisfc_fra;Paris FC;Paris FC
psgfc_fra;Paris Saint-Germain FC;Paris SG
rcl_fra;RC Lens;Lens
rcdsa_fra;RC Strasbourg Alsace;Strasbourg
rsfc93_fra;Red Star FC;Red Star
smc_fra;SM Caen;Caen
bastsc_fra;Sporting Club de Bastia;Bastia
stbr_fra;Stade Brestois 29;Brest
streim_fra;Stade de Reims;Reims
stlavmfc_fra;Stade Lavallois Mayenne FC;Laval
srfc_fra;Stade Rennais FC;Rennes
tfc_fra;Toulouse FC;Toulouse
tourfc_fra;Tours FC;Tours
bolus_fra;US Boulogne;
uscl_fra;US Créteil-Lusitanos;
usorlelf_fra;US Orléans Loiret Football;
vafc_fra;Valenciennes FC;Valenciennes
vannoc_fra;Vannes OC;
